filename,region_fold,subregion_fold,classID,class_name
06010001.wav,06,0601,06,South West
06010002.wav,06,0601,06,South West
06010003.wav,06,0601,06,South West
06010004.wav,06,0601,06,South West
06010005.wav,06,0601,06,South West
06010006.wav,06,0601,06,South West
06010007.wav,06,0601,06,South West
06010008.wav,06,0601,06,South West
06010009.wav,06,0601,06,South West
06010010.wav,06,0601,06,South West
06010011.wav,06,0601,06,South West
06010012.wav,06,0601,06,South West
06010013.wav,06,0601,06,South West
06010014.wav,06,0601,06,South West
06010015.wav,06,0601,06,South West
06010016.wav,06,0601,06,South West
06010017.wav,06,0601,06,South West
06010018.wav,06,0601,06,South West
06010019.wav,06,0601,06,South West
06010020.wav,06,0601,06,South West
06010021.wav,06,0601,06,South West
06010022.wav,06,0601,06,South West
06010023.wav,06,0601,06,South West
06010024.wav,06,0601,06,South West
06010025.wav,06,0601,06,South West
06010026.wav,06,0601,06,South West
06010027.wav,06,0601,06,South West
06010028.wav,06,0601,06,South West
06010029.wav,06,0601,06,South West
06010030.wav,06,0601,06,South West
06010031.wav,06,0601,06,South West
06010032.wav,06,0601,06,South West
06010033.wav,06,0601,06,South West
06010034.wav,06,0601,06,South West
06010035.wav,06,0601,06,South West
06010036.wav,06,0601,06,South West
06010037.wav,06,0601,06,South West
06010038.wav,06,0601,06,South West
06010039.wav,06,0601,06,South West
06010040.wav,06,0601,06,South West
06010041.wav,06,0601,06,South West
06010042.wav,06,0601,06,South West
06010043.wav,06,0601,06,South West
06010044.wav,06,0601,06,South West
06010045.wav,06,0601,06,South West
06010046.wav,06,0601,06,South West
06010047.wav,06,0601,06,South West
06010048.wav,06,0601,06,South West
06010049.wav,06,0601,06,South West
06010050.wav,06,0601,06,South West
06010051.wav,06,0601,06,South West
06010052.wav,06,0601,06,South West
06010053.wav,06,0601,06,South West
06010054.wav,06,0601,06,South West
06010055.wav,06,0601,06,South West
06010056.wav,06,0601,06,South West
06010057.wav,06,0601,06,South West
06010058.wav,06,0601,06,South West
06010059.wav,06,0601,06,South West
06010060.wav,06,0601,06,South West
06010061.wav,06,0601,06,South West
06010062.wav,06,0601,06,South West
06010063.wav,06,0601,06,South West
06010064.wav,06,0601,06,South West
06010065.wav,06,0601,06,South West
06010066.wav,06,0601,06,South West
